epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.175,1.87656,3.96994,2.07335,0.00438,0.95,0.15982,0.09188,1.68888,4.36134,2.24349,4.444e-05,4.444e-05,4.444e-05
2,48.2851,1.54499,3.75538,1.88081,0.00413,0.9,0.44923,0.26475,1.47065,4.17482,1.8923,6.69933e-05,6.69933e-05,6.69933e-05
3,73.1001,1.55027,3.73278,1.77023,0.00432,0.9,0.48109,0.31886,1.22936,4.05064,1.63539,5.28836e-05,5.28836e-05,5.28836e-05
