epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9814,1.87656,3.96994,2.07335,0.00438,0.95,0.15982,0.09188,1.68888,4.36134,2.24349,4.444e-05,4.444e-05,4.444e-05
2,63.0248,1.48794,3.73354,1.85285,0.00425,0.9,0.47778,0.2975,1.27499,4.08859,1.71876,9.80102e-05,9.80102e-05,9.80102e-05
3,103.334,1.48546,3.63261,1.70986,0.00718,0.95,0.4766,0.36102,1.07378,3.98807,1.41695,0.000149381,0.000149381,0.000149381
4,139.579,1.2892,3.28135,1.5567,0.00777,1,0.49444,0.36936,0.97053,3.87459,1.32492,0.000198551,0.000198551,0.000198551
5,159.153,1.3315,3.06699,1.57628,0.00559,1,0.55533,0.36789,1.0143,3.74347,1.43887,0.000245522,0.000245522,0.000245522
6,178.92,1.20538,2.9116,1.46738,0.00515,1,0.55673,0.36557,1.03889,3.70056,1.4711,0.000290293,0.000290293,0.000290293
7,200.557,1.14949,2.48679,1.36903,0.00478,1,0.70367,0.52546,1.00132,3.49714,1.35588,0.000332864,0.000332864,0.000332864
8,221.728,1.09129,2.25258,1.33966,0.87031,0.41901,0.72609,0.55024,0.96182,3.28763,1.32996,0.000373236,0.000373236,0.000373236
9,243.463,1.16772,2.30777,1.44361,0.90155,0.2,0.78118,0.57631,0.94608,3.3713,1.27229,0.000411408,0.000411408,0.000411408
10,266.915,1.14972,2.13548,1.33026,0.88681,0.2,0.79743,0.47947,1.0713,3.46813,1.37388,0.00044738,0.00044738,0.00044738
11,303.522,1.06668,1.98848,1.34969,0.83868,0.44295,0.85213,0.47879,1.04794,3.29429,1.37716,0.000481152,0.000481152,0.000481152
12,338.438,1.04628,2.08119,1.3176,0.93539,0.27746,0.89813,0.55534,1.02658,3.23277,1.36487,0.000512724,0.000512724,0.000512724
13,371.901,1.11001,2.119,1.36211,0.98935,0.39647,0.94112,0.58641,1.02273,3.26726,1.32688,0.000542097,0.000542097,0.000542097
14,408.562,1.03826,1.8926,1.32912,0.81878,0.51323,0.82247,0.58021,1.09125,3.10915,1.39427,0.00056927,0.00056927,0.00056927
15,444.218,0.99087,1.75689,1.25313,0.87502,0.55151,0.90794,0.63927,1.09685,2.92013,1.39091,0.000594243,0.000594243,0.000594243
16,481.563,0.93404,1.71148,1.20837,0.8461,0.57143,0.90186,0.64828,1.07133,2.73703,1.37074,0.000617016,0.000617016,0.000617016
17,519.047,1.08255,1.62997,1.33939,0.82975,0.77143,0.91715,0.70099,0.99706,2.34319,1.3647,0.00063759,0.00063759,0.00063759
18,554.86,1.06248,1.77663,1.3501,0.74871,0.85757,0.974,0.70865,1.05585,2.0803,1.44208,0.000655963,0.000655963,0.000655963
19,590.719,1.0677,1.58617,1.24883,0.8411,0.96523,0.97353,0.62913,1.1452,1.94044,1.48922,0.000672137,0.000672137,0.000672137
20,625.198,1.0615,1.68971,1.30698,0.8418,0.97143,0.97517,0.60538,1.22691,2.08774,1.54811,0.000686111,0.000686111,0.000686111
21,658.008,1.05896,1.61598,1.26133,0.81927,0.97586,0.9915,0.60669,1.18964,1.89988,1.5161,0.000671044,0.000671044,0.000671044
22,693.612,0.97887,1.42623,1.21652,0.81486,0.96947,0.995,0.66779,1.12367,1.82593,1.4556,0.000649046,0.000649046,0.000649046
23,726.317,0.88046,1.43679,1.2181,0.81476,0.96279,0.995,0.69812,1.1235,1.87855,1.45297,0.000627048,0.000627048,0.000627048
24,761.298,0.97236,1.48364,1.24984,0.80243,0.94596,0.94226,0.63262,1.12074,1.96074,1.41198,0.000605051,0.000605051,0.000605051
25,796.704,0.98462,1.50908,1.25907,0.74328,0.85,0.87283,0.59191,1.21965,2.08332,1.50596,0.000583053,0.000583053,0.000583053
26,831.476,0.94504,1.43444,1.24336,0.63495,0.95,0.89333,0.56222,1.28143,2.18599,1.57337,0.000561055,0.000561055,0.000561055
27,864.193,0.87031,1.34996,1.17092,0.85316,0.75,0.97833,0.60902,1.25558,2.15724,1.58311,0.000539057,0.000539057,0.000539057
28,896.488,0.93923,1.4196,1.23558,0.6128,1,0.97833,0.64369,1.19292,1.83602,1.52163,0.000517059,0.000517059,0.000517059
29,926.387,0.87829,1.26302,1.18831,0.78495,0.9402,0.97833,0.65619,1.17607,1.74473,1.47469,0.000495062,0.000495062,0.000495062
30,961.187,0.9442,1.51374,1.2204,0.75358,0.88552,0.93674,0.65576,1.1256,1.8063,1.42418,0.000473064,0.000473064,0.000473064
31,998.951,0.86475,1.25813,1.12279,0.83183,0.78322,0.93674,0.69345,1.0596,1.74114,1.36894,0.000451066,0.000451066,0.000451066
32,1035.5,0.81086,1.30444,1.14015,0.86699,0.77904,0.92833,0.69463,1.04789,1.6609,1.33052,0.000429068,0.000429068,0.000429068
33,1068.07,0.93318,1.31669,1.18867,0.78547,0.93614,0.95167,0.69679,1.07612,1.58165,1.36108,0.00040707,0.00040707,0.00040707
34,1099.32,0.89761,1.31033,1.187,0.8339,0.91626,0.95167,0.69186,1.11427,1.52939,1.40367,0.000385073,0.000385073,0.000385073
35,1131.91,0.85479,1.21646,1.09755,0.97495,0.91004,0.995,0.70683,1.10232,1.49362,1.37804,0.000363075,0.000363075,0.000363075
36,1163.46,0.88125,1.30028,1.18233,0.9343,0.94662,0.995,0.69632,1.11628,1.44313,1.42105,0.000341077,0.000341077,0.000341077
37,1198.86,0.84125,1.172,1.16509,0.94153,0.95415,0.995,0.70318,1.13963,1.42425,1.44139,0.000319079,0.000319079,0.000319079
