epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,1232.35,0.87243,1.17339,1.09923,0.94527,0.95174,0.995,0.71481,1.16063,1.40578,1.45722,0.000297081,0.000297081,0.000297081
39,1264.66,0.77333,1.13609,1.11794,0.93574,0.95022,0.995,0.70914,1.18587,1.37027,1.4888,0.000275084,0.000275084,0.000275084
40,1297.2,0.80087,1.12527,1.13514,0.96195,0.95308,0.995,0.71418,1.28494,1.42249,1.58267,0.000253086,0.000253086,0.000253086
41,1329.87,0.74173,1.49884,1.19116,0.96318,0.95601,0.995,0.66937,1.34959,1.49995,1.6219,0.000231088,0.000231088,0.000231088
42,1360.88,0.71761,1.4484,1.10813,0.95307,0.94322,0.995,0.6445,1.46892,1.57744,1.71584,0.00020909,0.00020909,0.00020909
43,1391.87,0.68986,1.48527,1.1622,0.92036,0.95656,0.995,0.65077,1.50577,1.63339,1.73635,0.000187092,0.000187092,0.000187092
44,1424.25,0.63238,1.38851,1.07568,0.92988,0.97634,0.995,0.63861,1.48502,1.56997,1.71644,0.000165095,0.000165095,0.000165095
45,1458.02,0.70242,1.39579,1.12517,0.95187,0.99141,0.995,0.64992,1.41485,1.52544,1.62371,0.000143097,0.000143097,0.000143097
46,1492.27,0.70851,1.40301,1.10221,0.96651,0.9734,0.995,0.66828,1.35132,1.47984,1.55085,0.000121099,0.000121099,0.000121099
47,1526.31,0.63942,1.30555,1.10813,0.97389,0.96495,0.995,0.67114,1.30211,1.45676,1.49628,9.91012e-05,9.91012e-05,9.91012e-05
48,1558.45,0.66567,1.32861,1.10778,0.96619,0.95,0.985,0.67861,1.19988,1.49982,1.4109,7.71034e-05,7.71034e-05,7.71034e-05
49,1589.64,0.65125,1.3173,1.09148,0.96364,0.95,0.985,0.67638,1.17047,1.50638,1.38674,5.51056e-05,5.51056e-05,5.51056e-05
50,1621,0.65207,1.35911,1.05211,0.96258,0.95,0.985,0.65643,1.15598,1.49468,1.37612,3.31078e-05,3.31078e-05,3.31078e-05
